CreatorOS Production Issue History Export
  ==========================================
  Generated: 2026-06-05T18:41:38.162Z
  Source: Production PostgreSQL (read-only replica)

  Tables included (oldest to newest, all rows):
    1. audit_logs          — 3,669 rows from 2026-02-24 (OLDEST RECORD)
    2. dead_letter_queue   — 1,337 rows from 2026-03-25
    3. autonomous_action_log — 2,357 rows from 2026-04-27
    4. security_events     — 115 rows from 2026-04-11
    5. pipeline_traces     — 14 rows from 2026-05-24

  Prompt for AI analysis:
    "The following is the full issue/event history for an autonomous YouTube
     channel automation system called CreatorOS. Identify recurring failure
     patterns, systemic problems, periods of instability, and root causes.
     Note any escalation trends and what was working vs broken at each phase."

  ==========================================

  

================================================================================
SECTION: AUDIT LOGS (audit_logs) — 3,669 rows from 2026-02-24
677,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T01:00:00.136Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 01:00:00.136913
678,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 01:30:00.199469
679,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T01:30:00.215Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 01:30:00.216641
680,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T02:00:00.211Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 02:00:00.212563
681,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 02:30:00.091238
682,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T02:30:00.099Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 02:30:00.100296
683,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T03:00:00.167Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 03:00:00.167908
684,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T03:30:00.200Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 03:30:00.20042
685,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 03:30:00.204799
686,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T04:00:00.215Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 04:00:00.215891
687,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T04:30:00.098Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 04:30:00.098846
688,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 04:30:00.206927
720,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 05:30:00.195768
721,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T05:30:00.196Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 05:30:00.197034
722,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T06:00:01.519Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 06:00:01.523383
723,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T06:30:00.214Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 06:30:00.214753
724,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 06:30:00.321622
725,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T07:00:00.097Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 07:00:00.098302
726,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T07:30:00.072Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 07:30:00.07326
727,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 07:30:00.076059
728,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T14:00:00.235Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 14:00:00.235898
729,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T14:30:00.108Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 14:30:00.108788
730,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 14:30:00.283275
731,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T16:00:00.192Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 16:00:00.19318
732,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T16:30:00.098Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 16:30:00.099261
733,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 16:30:00.100789
734,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T17:00:00.068Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 17:00:00.068701
735,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T17:30:00.060Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 17:30:00.061241
736,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 17:30:00.066123
737,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T18:00:00.151Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 18:00:00.151489
738,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T18:30:00.071Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 18:30:00.071465
739,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 18:30:00.104889
740,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T03:00:00.472Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 03:00:00.473138
773,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T06:00:00.319Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 06:00:00.319985
774,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T07:30:00.110Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 07:30:00.111079
775,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 07:30:00.162888
776,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T08:00:00.200Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 08:00:00.20138
777,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T08:30:00.218Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 08:30:00.219426
778,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 08:30:00.229634
779,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T11:30:00.087Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 11:30:00.087998
780,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 11:30:00.133404
781,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T12:00:00.357Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 12:00:00.357579
782,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T12:30:00.088Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 12:30:00.088774
783,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 12:30:00.211281
784,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T13:00:00.087Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 13:00:00.087876
785,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T13:30:00.070Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 13:30:00.07035
786,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 13:30:00.227091
787,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T14:00:00.099Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 14:00:00.099989
788,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T14:30:00.095Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 14:30:00.095512
789,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 14:30:00.297977
790,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 15:30:00.447252
791,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T16:30:00.150Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 16:30:00.151379
792,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 16:30:00.244776
793,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T17:00:00.267Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 17:00:00.268365
794,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-26T17:30:00.081Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-26 17:30:00.082953
795,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 17:30:00.240761
796,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 18:30:00.26958
797,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 19:30:00.108977
798,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 20:30:00.063563
799,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 21:30:00.146896
800,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 22:30:00.143448
801,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 22:30:00.260634
802,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 23:30:00.138061
803,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-26 23:30:00.161539
804,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 00:30:00.153292
805,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 01:30:00.298914
806,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 02:30:00.161454
807,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T03:00:00.150Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 03:00:00.150804
808,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 03:30:00.111684
809,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T04:00:00.261Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 04:00:00.261609
810,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T05:30:00.493Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 05:30:00.493877
811,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 05:30:00.497734
812,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T06:00:00.267Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 06:00:00.267993
813,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T06:30:00.267Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 06:30:00.267482
814,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 06:30:00.284799
815,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T07:00:00.126Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 07:00:00.127668
816,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T07:30:00.139Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 07:30:00.140416
817,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 07:30:00.20783
818,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T08:00:00.180Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 08:00:00.180797
819,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T08:30:00.103Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 08:30:00.104223
820,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 08:30:00.129664
821,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T09:00:00.108Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 09:00:00.110055
822,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T09:30:00.097Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 09:30:00.097716
823,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 09:30:00.118642
824,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T10:00:00.147Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 10:00:00.147623
825,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T10:30:00.191Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 10:30:00.191688
826,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 10:30:00.214523
827,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T11:00:00.243Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 11:00:00.244181
828,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T11:30:00.169Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 11:30:00.169663
829,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 11:30:00.179677
830,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T12:00:00.319Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 12:00:00.328073
831,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T12:30:00.159Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 12:30:00.237842
832,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 12:30:00.256793
833,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T13:00:00.244Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 13:00:00.244524
834,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T13:30:00.138Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 13:30:00.147607
835,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 13:30:00.175226
836,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T14:00:00.163Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 14:00:00.164353
837,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T16:30:00.180Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 16:30:00.18085
838,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 16:30:00.269457
839,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T17:00:00.257Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 17:00:00.259138
840,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T17:30:00.350Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 17:30:00.351229
841,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 17:30:00.465121
842,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T18:00:00.541Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 18:00:00.541682
843,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T18:30:00.214Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 18:30:00.215731
844,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 18:30:00.233531
845,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T19:00:00.165Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 19:00:00.165569
846,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T20:00:00.576Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 20:00:00.57705
847,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T20:30:00.076Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 20:30:00.076681
848,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 20:30:00.21503
849,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T21:00:00.095Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 21:00:00.095874
850,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 21:30:00.103126
851,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T21:30:00.103Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 21:30:00.104055
852,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T22:30:00.097Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 22:30:00.098168
853,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 22:30:00.119186
854,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T23:00:00.230Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 23:00:00.230667
855,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-27T23:30:00.141Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-27 23:30:00.142143
856,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-27 23:30:00.170021
857,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-28T00:00:00.225Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-28 00:00:00.225824
858,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-28T00:30:00.087Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-28 00:30:00.087667
859,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-28 00:30:00.120765
860,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-28T01:00:00.105Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-28 01:00:00.105595
861,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-28T01:30:00.075Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-28 01:30:00.076121
862,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-28 01:30:00.083885
863,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-28T02:00:00.119Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-28 02:00:00.120278
